BinLocationName,ArticleSKU
FK19-5-A,PHF-11-00004-3
FK19-5-B,PRO-00-90450-5
FK19-6-A,PHF-11-10405-3
FK19-6-B,SPI-00-90517-5
FK19-7-A,PHF-11-150274-5
FK19-7-B,PHF-11-10695-3
FK19-8-A,PHF-11-10042-3
FK19-8-B,PHF-11-00009-3
FK20-1-A,DAI-11-100317-5
FK20-1-B,SPI-00-90512-5
FK20-2-A,PHF-11-10276-3
FK20-2-B,SPI-00-140277-5
FK20-3-A,DAI-11-100318-5
FK20-3-B,SPI-00-90513-5
FK20-4-A,PHF-11-10216-3
FK20-4-B,SPI-00-125402-5
FK20-5-A,PHF-11-10433-3
FK20-5-B,PHF-11-10217-3
FK20-6-A,PHF-11-132609-5
FK20-6-B,SPI-00-140276-5
FK20-7-A,PHF-11-10164-3
FK20-7-B,PRO-00-50235-5
FK20-8-A,PHF-11-10134-3
FK20-8-B,SPI-00-90514-5
FK20-9-A,PRO-00-134065-5
FK20-9-B,SPI-00-11573-5
FK20-10-A,PHF-11-10136-3
FK20-10-B,SPI-00-125403-5
FK20-11-A,PHF-11-10912-3
FK20-11-B,PHF-11-102520-3
FK20-12-A,PRO-00-128882-3
FK20-12-B,SPI-00-12021-5
FK20-13-A,PHF-11-00001-3
FK20-13-B,PHF-11-10794-3
FK20-14-A,PRO-00-129170-5
FK20-14-B,SPI-00-11574-5
FK21-1-A,PHF-11-132611-5
FK21-1-B,SPI-00-90490-5
FK21-2-A,PRO-00-90545-5
FK21-2-B,PRO-00-90427-5
FK21-3-A,PHF-11-132613-5
FK21-3-B,DRY-00-141706-5
FK21-4-A,PHF-11-10217-3
FK21-4-B,SPI-00-131963-5
FK21-5-A,PHF-11-10187-3
FK21-5-B,DRY-00-141335-5
FK21-6-A,PHF-11-10216-3
FK21-6-B,SPI-00-90520-5
FK21-7-A,PRO-00-90426-5
FK21-7-B,PRO-00-137169-5
FK21-8-A,PHF-11-10164-3
FK21-8-B,SPI-00-90521-5
FK21-9-A,SPI-00-90489-5
FK21-9-B,PHF-11-10767-3
FK21-10-A,PHF-11-00001-3
FK21-10-B,BAK-00-147472-5
FK21-11-A,SPI-00-132265-5
FK21-11-B,PRO-00-137168-5
FK21-12-A,PRO-00-90576-5
FK21-12-B,BAK-00-147473-5
FK21-13-A,PHF-11-117329-3
FK21-13-B,PHF-11-10695-3
FK21-14-A,PRO-00-90541-5
FK21-14-B,BAK-00-147471-5
FK22-1-A,PCK-00-102736-5
FK22-1-B,PHF-11-10164-3
FK22-2-A,PHF-11-10074-3
FK22-2-B,SPI-00-90508-5
FK22-3-A,SPI-00-90523-5
FK22-3-B,SPI-00-90522-5
FK22-4-A,PRO-00-90560-5
FK22-4-B,PRO-00-90453-5
FK22-5-A,PRO-00-123235-5
FK22-5-B,SPI-00-11574-5
FK22-6-A,PRO-00-90450-5
FK22-6-B,SPI-00-90519-5
FK22-7-A,DRY-00-137468-5
FK22-7-B,SPI-00-11573-5
FK22-8-A,SPI-00-12084-5
FK22-8-B,SPI-00-90520-5
FK22-9-A,SPI-00-12021-5
FK22-9-B,SPI-00-11656-5
FK22-10-A,DRY-00-10012-5
FK22-10-B,DRY-00-137467-5
FK22-11-A,PRO-00-123234-5
FK22-11-B,SPI-00-11655-5
FK22-12-A,DRY-00-10277-5
FK22-12-B,PHF-11-10746-3
FK22-13-A,PHF-11-10299-3
FK22-13-B,PHF-11-10042-3
FK22-14-A,DRY-00-10474-5
FK22-14-B,PHF-11-10791-3
FK23-1-A,PHF-11-10187-3
FK23-1-B,SPI-00-12084-5
FK23-2-A,DAI-11-100318-5
FK23-2-B,SPI-00-11574-5
FK23-3-A,PHF-11-132611-5
FK23-3-B,PRO-00-000117-5
FK23-4-A,DAI-11-100317-5
FK23-4-B,SPI-00-12021-5
FK23-5-A,DRY-00-002026-5
FK23-5-B,SPI-00-90513-5
FK23-6-A,PHF-11-132613-5
FK23-6-B,SPI-00-50343-5
FK23-7-A,DRY-00-002027-5
FK23-7-B,PRO-00-10700-5
FK23-8-A,SPI-00-50342-5
FK23-8-B,SPI-00-11573-5
FK23-9-A,PRO-00-90448-5
FK23-9-B,SPI-00-50341-5
FK23-10-A,DRY-00-002028-5
FK23-10-B,PHF-11-10792-3
FK23-11-A,PRO-00-90449-5
FK23-11-B,SPI-00-101531-5
FK23-12-A,PHF-11-10912-3
FK23-12-B,PHF-11-10791-3
FK23-13-A,PHF-11-10299-3
FK23-13-B,SPI-00-90514-5
FK23-14-A,PHF-11-10164-3
FK23-14-B,PHF-11-10632-3
FK24-1-A,PCK-00-102737-5
FK24-1-B,PCK-00-102736-5
FK24-2-A,PHF-11-132608-5
FK24-2-B,PRO-00-10064-5
FK24-3-A,PHF-11-10107-3
FK24-3-B,DRY-00-143404-5
FK24-4-A,PHF-11-10124-3
FK24-4-B,SPI-00-90521-5
FK24-5-A,SPI-00-50341-5
FK24-5-B,SPI-00-90523-5
FK24-6-A,PHF-11-10122-3
FK24-6-B,SPI-00-11645-5
FK24-7-A,PHF-11-10433-3
FK24-7-B,BAK-00-147472-5
FK24-8-A,DRY-00-142749-5
FK24-8-B,SPI-00-125403-5
FK24-9-A,PRO-00-123235-5
FK24-9-B,BAK-00-147473-5
FK24-10-A,PRO-00-128882-3
FK24-10-B,SPI-00-90520-5
FK24-11-A,PRO-00-123234-5
FK24-11-B,BAK-00-147471-5
FK24-12-A,PHF-11-10404-3
FK24-12-B,PHF-11-10791-3
FK24-13-A,PHF-11-150274-5
FK24-13-B,PHF-11-10042-3
FK24-14-A,PHF-11-10164-3
FK24-14-B,PHF-11-10837-3
FK25-1-A,PCK-00-102737-5
FK25-1-B,PCK-00-102736-5
FK25-2-A,PHF-11-132608-5
FK25-2-B,PHF-11-10164-3
FK25-3-A,PHF-11-132611-5
FK25-3-B,PRO-00-10730-5
FK25-4-A,PHF-11-10126-3
FK25-4-B,DRY-00-142002-5
FK25-5-A,PRO-00-10736-5
FK25-5-B,PRO-00-10731-5
FK25-6-A,PHF-11-10122-3
FK25-6-B,SPI-00-50085-5
FK25-7-A,DAI-11-100318-5
FK25-7-B,PRO-00-123229-5
FK25-8-A,PHF-11-10124-3
FK25-8-B,SPI-00-90516-5
FK25-9-A,DAI-11-100317-5
FK25-9-B,SPI-00-50086-5
FK25-10-A,PRO-00-13017-5
FK25-10-B,SPI-00-90517-5
FK25-11-A,SPI-00-50084-5
FK25-11-B,DRY-00-143404-5
FK25-12-A,PHF-11-10404-3
FK25-12-B,PHF-11-10692-3
FK25-13-A,PHF-11-132613-5
FK25-13-B,PRO-00-50340-5
FK25-14-A,PHF-11-10912-3
FK25-14-B,PRO-00-10064-5
FK25-15-A,PHF-11-150274-5
FK25-15-B,PHF-11-10791-3
FK25-16-A,PHF-11-117329-3
FK25-16-B,PRO-00-10150-5
FK25-17-A,PRO-00-90460-5
FK25-17-B,PHF-11-10746-3
FK26-1-A,PHF-11-132608-5
FK26-1-B,PCK-00-102736-5
FK26-2-A,PRO-00-10731-5
FK26-2-B,SPI-00-50299-5
FK26-3-A,PHF-11-10124-3
FK26-3-B,PRO-00-10716-5
FK26-4-A,PRO-00-10730-5
FK26-4-B,SPI-00-90508-5
FK26-5-A,PHF-11-10126-3
FK26-5-B,SPI-00-50271-5
FK26-6-A,PHF-11-10276-3
FK26-6-B,PHF-11-10042-3
FK26-7-A,PHF-11-10164-3
FK26-7-B,SPI-00-50298-5
FK26-8-A,PHF-11-132613-5
FK26-8-B,BAK-00-50253-5
FK27-1-A,PHF-11-10117-3
FK27-1-B,SPI-00-12021-5
FK27-2-A,PHF-11-10943-3
FK27-2-B,PHF-11-10164-3
FK27-3-A,PRO-00-90565-5
FK27-3-B,PRO-00-139638-5
FK27-4-A,PHF-11-10107-3
FK27-4-B,DRY-00-141706-5
FK27-5-A,PRO-00-10080-5
FK27-5-B,SPI-00-11574-5
FK27-6-A,PHF-11-10404-3
FK27-6-B,PRO-00-115591-5
FK27-7-A,SPI-00-90520-5
FK27-7-B,DRY-00-143148-5
FK27-8-A,PRO-00-117125-5
FK27-8-B,SPI-00-131930-5
FK27-9-A,PRO-00-150732-3
FK27-9-B,DRY-00-141335-5
FK27-10-A,DRY-00-10468-5
FK27-10-B,SPI-00-11573-5
FK27-11-A,PHF-11-102520-3
FK27-11-B,SPI-00-131931-5
FK27-12-A,DRY-00-10470-5
FK27-12-B,PRO-00-137168-5
FK27-13-A,PHF-11-00005-3
FK27-13-B,SPI-00-90519-5
FK27-14-A,DRY-00-10478-5
FK27-14-B,PRO-00-137169-5
FK28-1-A,PRO-00-10731-5
FK28-1-B,PCK-00-102736-5
FK28-2-A,PRO-00-10147-5
FK28-2-B,PRO-00-10730-5
FK28-3-A,PHF-11-132613-5
FK28-3-B,SPI-00-90507-5
FK28-4-A,PRO-00-002386-5
FK28-4-B,PRO-00-123234-5
